State Agency or Indian Tribal Organization,01-10-2015 00:00,01-11-2015 00:00,01-12-2015 00:00,01-01-2016 00:00,01-02-2016 00:00,01-03-2016 00:00,01-04-2016 00:00,01-05-2016 00:00,01-06-2016 00:00,01-07-2016 00:00,01-08-2016 00:00,01-09-2016 00:00,Cumulative Cost
Connecticut,2538332,2324057,1422235,3386254,2116673,2187305,2059411,1819596,1813816,1836663,3407424,838563,25750329
Maine,624146,1245941,1258854,-121621,1177399,492970,1200591,896298,482357,1216447,883662,460947,9817991
Massachusetts,4431313,4640934,4448210,4484174,4313062,4357880,4473290,4568761,4347498,4560009,4476139,4373524,53474794
New Hampshire,500704,486442,468920,545974,407893,481661,416675,456836,476960,471492,481961,422555,5618073
New York,25695720,24881845,24701956,25131432,23474332,24371976,24710758,23345729,24807310,23590864,23361855,24321614,292395391
Rhode Island,919638,925837,935042,894466,903783,883284,892932,974955,885047,870426,928957,879917,10894284
Vermont,735474,661476,742479,601246,644621,543240,570528,544361,555930,547507,544167,645967,7336996
"Indian Township, ME",2212,6193,3315,4105,4099,4397,3941,3296,4079,4565,3663,3337,47202
"Pleasant Point, ME",4300,3980,4028,3437,3223,3142,3322,3377,3311,3704,4213,3578,43615
"Seneca Nation, NY",7637,7418,7400,7131,7335,5600,5909,5920,5944,6781,6687,7165,80927
Delaware,783962,751926,799607,1149271,305384,717990,711150,744961,709866,1092537,635351,299725,8701730
District of Columbia,620813,490761,650466,535394,596674,634614,605992,881480,358386,904829,570169,532002,7381580
Maryland,4459560,8376813,6563560,6112731,5923947,4057838,8361734,5837596,6360136,6042581,6008845,6243355,74348696
New Jersey,8592530,8383559,8234754,8593904,7694113,8440316,8123016,8238098,8321900,8530688,8070644,8423718,99647240
Pennsylvania,5728462,9788803,19215468,5685257,10035394,6343477,14971601,10102737,5369890,15315668,6039558,17195426,125791741
Puerto Rico,14517899,14469461,14090257,14537989,14284836,13997519,13965995,12512146,12968066,13063299,12872575,13330348,164610390
Virginia,7733590,4473240,1735469,7160538,4304615,1655698,6792284,1905224,5015840,6702780,4453407,4245202,56177887
Virgin Islands,342459,349977,337903,390858,299375,350220,292151,368875,267058,392769,248919,320073,3960637
West Virginia,2522651,1545225,945780,1541335,1519147,1629146,2339982,1545704,1645325,1567764,1556695,1585464,19944218
Alabama,4119549,8402906,4002722,6003569,5773854,6364989,5475727,5942565,6130514,5700519,6385716,6248868,70551498
Florida,20611465,20477112,19954136,20216722,18970754,19480867,20026561,20018568,20184492,20662630,20105845,22156743,242865895
Georgia,10635672,10360297,10125467,10622146,9800448,9938990,10003750,9535408,10394816,9566067,9260607,10345283,120588951
Kentucky,2221248,4605487,7041297,2188569,4236589,4405181,4551667,4355149,4467820,4470168,6913298,4467960,53924433
Mississippi,5036720,4092269,4204248,5435579,4381974,4920546,4198168,5130380,4202188,4329883,4833435,3600383,54365773
North Carolina,10940810,10207026,10426681,8782320,9445807,10756150,10432811,9642570,10792073,10403174,10214531,11410642,123454595
South Carolina,4978459,6797127,2872798,5084119,6056366,3929338,4291549,4648388,4868919,4592897,5668822,4079399,57868181
Tennessee,9584128,5875703,5662668,2078664,5550030,5556902,5495526,9190082,2228901,9100370,5757225,5713450,71793649
"Choctaw Indians, MS",34856,32646,24246,29415,23236,24815,28675,32504,29877,26165,32348,32364,351147
"Eastern Cherokee, NC",27764,19713,19981,22378,25541,24152,22922,20190,22624,19845,28261,12546,265917
Illinois,14704143,12374927,12080755,10680089,9178873,13776908,10151402,16807784,10128654,9130205,9155750,12757545,140927035
Indiana,6182684,5748693,5739333,5582343,4783705,5330383,5412863,4915742,5324890,5139553,4950148,5089699,64200036
Michigan,9253133,9299341,9144313,9005229,8534005,8683762,8629141,9383492,8942133,9487845,9203872,9078139,108644405
Minnesota,2376908,4578750,5899687,5119259,4621918,5495686,4726626,4545964,5665092,5491384,6348110,6368544,61237928
Ohio,8042122,2318375,7658575,12361338,7145204,7492381,7289519,2845730,7208601,7289614,7529263,12033974,89214696
Wisconsin,4389114,4192677,4146939,4202687,3893071,3720740,3810626,3765608,5747002,1711622,3849377,6122852,49552315
Arkansas,3551610,3495328,3520659,3562815,3311831,3376319,3369568,3550387,3463944,3470481,3545414,3438543,41656899
Louisiana,6446314,6220601,6089818,6173894,6304061,5787497,5552018,5818875,6306885,9071790,2290921,6000317,72062991
New Mexico,1718821,1700156,800533,1752378,1622461,2475475,578537,2445032,1669660,1713533,1781357,2112615,20370558
Oklahoma,3426601,3324350,2987442,3313565,2949377,2821484,3210593,2876707,2261140,2311559,2850803,3091274,35424895
Texas,,,,,,,,,,,,, 
Texas,37552604,19687072,27175947,21096330,24754181,25527568,17470251,41535607,8558544,36303013,12933174,35019859,307614150
"Acoma, Canoncito & Laguna, NM",13396,17358,27132,20429,14000,19449,21106,23089,29957,14000,20939,19498,240353
"Eight Northern Pueblos, NM",13248,15106,15496,14807,13937,13075,14740,14932,14399,14838,15407,14222,174207
"Five Sandoval Pueblos, NM",14021,13696,9745,13907,13842,14431,14821,12158,14730,12842,17492,14259,165944
"Isleta Pueblo, NM",56238,55026,57259,55978,52129,48957,55210,55120,55167,55948,83175,59963,690170
"San Felipe Pueblo, NM",10514,15147,14303,16066,22229,18161,8663,37740,20086,25666,28660,22858,240093
"Santo Domingo Tribe, NM",13235,14122,12887,14769,10984,11654,13504,15440,14384,17267,15024,35939,189209
"Zuni Pueblo, NM",38345,33935,34070,31472,29640,31590,34521,31521,31400,32923,32327,24718,386462
"Cherokee Nation, OK",164472,248381,284348,319474,380739,93285,430022,435739,149489,247467,74706,284686,3112808
"Chickasaw Nation, OK",134524,126755,130501,47153,115102,117828,125992,132919,144583,127591,132734,129668,1465350
"Choctaw Nation, OK",150268,144218,146644,150521,127212,139899,160342,140655,151787,147093,145444,156670,1760753
"Citizen Potawatomi Nation, OK",51135,42800,42627,49393,44352,50033,53426,46471,45728,49525,50217,50964,576671
"Inter-Tribal Council, OK",51418,47375,46499,45471,42418,43026,43496,41652,42902,45082,44136,43495,536970
"Muscogee Creek Nation, OK",118322,166223,62098,118311,104160,105246,109328,100891,108851,107638,102278,112180,1315526
"Osage Tribal Council, OK",185432,75743,139225,135435,127267,100038,152694,125860,139107,125294,132701,226293,1665089
"Otoe-Missouria Tribe, OK",23466,17085,30564,16902,25944,-4446,18677,26190,19387,16243,19603,26265,235880
"Wichita, Caddo & Delaware (WCD), OK",150827,139883,136354,151048,134162,140433,146602,136455,146835,139661,136324,138870,1697454
Colorado,5086580,3741723,2161978,3574186,3476010,4857677,2116230,3636267,4818123,3501972,2211331,3511752,42693829
Iowa,858626,2073894,2048206,2201332,1737706,1763016,1832260,1689150,1884487,2163625,2087441,2056859,22396602
Kansas,2405415,2267180,2340824,2323226,2023740,2176370,2276080,2085182,2269709,2193928,2192808,2315527,26869989
Missouri,2022670,8379242,1754300,4969059,4488283,4408644,4255548,4396777,4676987,4225344,4381821,7388077,55346752
Montana,727369,760852,1046595,492613,723958,731348,685445,726254,679436,999326,1027546,669670,9270412
Nebraska,1502760,1568711,945704,2350502,1545573,1579337,1459121,2260653,744818,1451924,1499114,1472969,18381186
North Dakota,457954,509876,593565,766930,328085,788833,523549,350057,819985,337440,821994,305919,6604187
South Dakota,764754,771868,785453,817270,741672,731916,763644,724181,767414,714622,1091737,568060,9242591
Utah,2112056,2032832,2253035,2089769,2042397,2294870,2041598,2024267,2298282,1955169,2221619,2360768,25726662
Wyoming,469618,301891,335824,311476,152289,320138,305947,484395,161635,457366,311161,170044,3781784
"Ute Mountain Ute Tribe, CO",12368,11761,11021,11907,11361,11626,11464,10588,12203,10910,11119,11239,137567
"Omaha Sioux, NE",19703,18573,18802,19159,16474,17942,17586,18563,19136,20782,17422,22834,226976
"Santee Sioux, NE",8005,9363,8875,9785,8925,9547,10322,10266,9440,10136,9561,9506,113731
"Winnebago Tribe, NE",18316,17003,15376,18163,14046,15234,15580,16574,17523,18569,18212,17165,201761
"Standing Rock Sioux Tribe, ND",40569,38012,33474,38858,35276,36069,34977,44823,33469,32907,44472,52082,464988
"Three Affiliated Tribes, ND",17833,16940,17326,17323,18413,18417,17562,20012,21466,20583,22273,22034,230182
"Cheyenne River Sioux, SD",41286,42917,43001,40738,44198,46234,44624,49158,55369,54050,53512,51666,566753
"Rosebud Sioux, SD",59456,79572,64309,73441,63737,68057,64697,69390,58816,80510,64619,82072,828676
"Northern Arapahoe, WY",22300,20556,18252,20635,18018,19162,21131,20822,21448,17216,18233,17798,235571
"Shoshone Tribe, WY",10883,10576,10188,10725,10748,10815,9085,8638,8570,25053,22852,28523,166656
Mountain Plains,16658521,22673342,14506108,20157097,17500909,19905252,16506450,18646017,19378316,18291432,18128847,21134564,223486855
Alaska,1251195,753690,1163887,827603,710136,1053304,1225336,1027098,1089497,1120034,1087349,811169,12120298
American Samoa,451528,444868,525942,453743,381922,455721,441084,435071,443441,441740,435490,448303,5358853
Arizona,7307560,6668110,4019185,9635416,6115899,6477673,6379153,6130913,3479496,9479008,6343427,7090461,79126301
California,57797645,55646273,55037406,56217613,52783036,54785878,55538764,52671166,53518938,52208722,51647462,51892264,649745167
Guam,581268,540987,544128,559407,554535,575554,571087,549228,562912,561253,564805,555620,6720784
Hawaii,1627016,1615656,1679488,1192839,2054817,1119446,1554390,2009820,1591950,1492001,1614000,1630482,19181905
Idaho,1462485,1461927,1452414,1475687,1341807,948797,1866800,1357638,869448,1798816,1320172,836494,16192485
Nevada,2731070,2548076,2622198,2678830,2310267,2473028,2482686,2410449,2414273,2471261,2418917,2410689,29971744
Oregon,3832901,3642919,3898775,3689920,3284550,3491103,3089394,2832020,3583542,3258557,3196435,3933749,41733865
Washington,7593554,7205458,7315086,7548169,6844786,7051603,7099856,6836729,7075694,6899569,6857746,7387447,85715697
Northern Marianas,247674,224750,225244,224804,186662,233163,277910,229707,180208,268073,225891,228952,2753038
"Inter-Tribal Council, AZ",389700,188072,386856,333141,320241,362526,329836,368682,392769,546052,357255,370924,4346054
"Navajo Nation, AZ",285272,844920,476162,412129,82389,22497,1064620,368663,396141,381745,380571,244392,4959501
"Inter-Tribal Council, NV",71211,44622,20997,44562,63694,-8152,64197,72064,5550,49625,47520,37381,513271
